数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
12285,青浦发改委商业保理类企业补贴资金名录,经济建设,数据接口,无条件开放,0,0,0.0,0.058706363350456,0.790073230268511,-0.731366866918055,2673.963623021281
AD4002012005,上海市白蚁防治机构一览表,民生服务,数据接口,无条件开放,0,0,0.0,0.2548485166159975,0.9863710333604556,-0.7315225167444581,2673.9637278540727
6928,黄浦小学教育统计,教育科技,数据产品,无条件开放,0,0,0.0,0.0642625013104098,0.7972739073993942,-0.7330114060889844,2673.9638326868644
AC5002012022,主要年份非公有制经济增加值(按产业分),经济建设,数据产品,无条件开放,0,0,0.0,0.2170038788132928,0.9500216356555604,-0.7330177568422676,2673.963937519656
633,黄浦区社保卡受理网点一览表,公共安全,数据产品,无条件开放,0,0,0.0,0.0104832791697242,0.7442665512765037,-0.7337832721067794,2673.964042352448
AH1002018008,船员违法记分信息,道路交通,数据产品,有条件开放,0,0,0.0,0.0120557710451829,0.74643011683254,-0.7343743457873572,2673.9641471852397
1075,上海猪肉流通安全信息追溯系统的经营者基本信息,经济建设,数据接口,有条件开放,0,0,0.0,0.1666841387986162,0.9013425549227014,-0.7346584161240852,2673.9642520180314
AQ1002018006,静安区慈善事业工作,民生服务,数据产品,无条件开放,0,0,0.0,0.2278016563581088,0.9630030289917784,-0.7352013726336696,2673.964356850823
239,闵行区养老机构,机构团体,数据产品,无条件开放,0,0,0.0,0.0011531607086696,0.7364777152747728,-0.7353245545661032,2673.9644616836144
AH1002018005,船舶协查信息,道路交通,数据产品,有条件开放,0,0,0.0,0.0088059545025684,0.7444829078321074,-0.735676953329539,2673.964566516406
686,审查机构信息,城市建设,数据接口,有条件开放,0,0,0.0,0.0891078729426564,0.8250610252237591,-0.7359531522811027,2673.964671349198
AC5002012033,上海全社会固定资产投按经济类型分,经济建设,数据产品,无条件开放,0,0,0.0,0.1369116259565992,0.8745131977498918,-0.7376015717932926,2673.9647761819897
10169,上海人民调解案例,民生服务,数据接口,有条件开放,0,0,0.0,0.1138484117832057,0.8517087062652563,-0.7378602944820506,2673.9648810147814
7684,沪惠保城保、居保验证接口（医保中心）,卫生健康,数据接口,有条件开放,0,0,0.0,0.1823042247615054,0.9202603742880392,-0.7379561495265338,2673.964985847573
314,宝山区旅行社名单,文化休闲,数据产品,无条件开放,0,0,0.0,0.1179368906593982,0.8567719601903938,-0.7388350695309956,2673.965090680365
AQ1002018017,静安区家庭医生管理,卫生健康,数据产品,无条件开放,0,0,0.0,0.1964566516406332,0.9355257464301168,-0.7390690947894836,2673.9651955131567
AD3002015017,《建设用地规划许可证（市政类临时）》审批,城市建设,数据产品,无条件开放,0,0,0.0,0.1796834049690743,0.9190826482042406,-0.7393992432351663,2673.9653003459484
AH1002018021,打捞队,道路交通,数据产品,有条件开放,0,0,0.0,0.0084914561274766,0.7483773258329728,-0.7398858697054962,2673.9654051787397
AC5002015044,1978年以来社会消费品零售总额按用途分类,经济建设,数据产品,无条件开放,0,0,0.0,0.1990774714330642,0.938987451319775,-0.7399099798867108,2673.9655100115315
11202,闵行区民政机构表,民生服务,数据接口,有条件开放,0,0,0.0,0.0783100953978404,0.8185516680227828,-0.7402415726249424,2673.965614844323
O5485687412025021,空气质量陆家嘴图片,资源环境,数据接口,无条件开放,0,0,0.0,0.0674074850613271,0.8079739625711961,-0.740566477509869,2673.965719677115
