数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O6411227742026002,上海工会招聘企业及岗位信息,社保就业,上海市总工会,数据接口,无条件开放,每天,0.4919650122050447,0.9750497955760562,0.4830847833710114,0.3841073487786979,-0.1078576634263467,0.7166666666666667,0.7153259075907591,0.5517358511552407,1.0,0.9652987421383648,0.485,0.7420290289237967,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O6411227742026002&&companyFlag=0
O1928138412025033,徐汇区长桥街道社区党建服务中心,民生服务,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.410536564257897,0.8925988049061746,0.4820622406482776,0.3195303490931963,-0.0910062151647006,0.8791666666666665,0.7938325082508251,0.2500224937960477,1.0,0.4113679245283019,0.7749999999999999,0.6530751181314588,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138412025033&&companyFlag=0
O1928138402025054,闵行区颛桥镇垃圾违规投放事件监管设备信息,资源环境,上海市闵行区人民政府,数据接口,有条件开放,不定期更新,0.3335028478437754,0.8142362931124856,0.4807334452687101,0.3659712758150749,0.0324684279712995,0.8041666666666666,0.8147277227722772,0.6435318874262014,0.42,0.5532861635220125,0.975,0.7849347490761972,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025054&&companyFlag=0
O1928138382025791,青浦区农村公益事业建设一事一议项目实施计划表,农业农村,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3623881204231082,0.8422266484956494,0.4798385280725412,0.4991089212705734,0.1367208008474652,0.7291666666666666,0.8806105610561056,0.4444471664241415,0.42,0.9652987421383648,0.7749999999999999,0.68081306162168,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025791&&companyFlag=0
O1928138382025880,青浦区机关运行经费林业站年度决算表,城市建设,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3001423921887713,0.7789076423105147,0.4787652501217433,0.4600062899675018,0.1598638977787305,0.7208333333333333,0.80625,0.407610013021424,0.42,0.9652987421383648,0.7749999999999999,0.6507503977060424,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025880&&companyFlag=0
O1928138382025904,青浦区执业医师定期考核合格人员信息,卫生健康,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3533360455655004,0.8319530349093196,0.4786169893438192,0.4779326973477303,0.1245966517822299,0.9208333333333332,0.8327351485148515,0.3873123784382762,0.42,0.9652987421383648,0.7749999999999999,0.645559712773185,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025904&&companyFlag=0
O1928138402025107,闵行区教师发展小课题信息,教育科技,上海市闵行区人民政府,数据接口,无条件开放,不定期更新,0.4542310821806347,0.931858685396792,0.4776276032161574,0.4800293531816752,0.0257982710010405,0.6416666666666667,0.6702557755775578,0.7005962983003773,0.91,0.5752987421383647,0.7749999999999999,0.7402071901444827,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025107&&companyFlag=0
O6344680872025023,国家税务总局上海市税务局及下属单位综合性涉企收费目录清单,经济建设,国家税务总局上海市税务局,数据产品,无条件开放,不定期更新,0.3101471224578104,0.7864556033127162,0.4763084808549058,0.3498270258936996,0.0396799034358891,0.6416666666666667,0.875,0.3092304339291595,1.0,0.3386635220125786,0.585,0.5791185478179137,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O6344680872025023&&companyFlag=0
O5364112272025008,上海市职工健身驿站,文化休闲,上海市总工会,数据接口,无条件开放,每天,0.4446704637917005,0.918020756892756,0.4733502931010555,0.50152007547961,0.0568496116879094,0.4499999999999999,0.1006394389438943,0.4846474407401884,1.0,0.9652987421383648,0.985,0.8191226335199948,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5364112272025008&&companyFlag=0
O5915184142025014,经营主体基本业务统计信息,经济建设,上海市大数据中心,数据产品,无条件开放,不定期更新,0.3213976633491995,0.7926407380228535,0.471243074673654,0.2953139742111332,-0.0260836891380662,0.6416666666666667,0.6148102310231024,0.3707017492823514,1.0,0.3342610062893081,0.7849999999999999,0.6791185478179137,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184142025014&&companyFlag=0
