数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O1928138382025790,青浦区名特优新农产品名录,文化休闲,上海市青浦区人民政府,数据接口,有条件开放,每天,0.2555939788445891,0.460949785092777,0.2053558062481879,0.4917706258517664,0.2361766470071773,0.4916666666666666,0.7083745874587458,0.4394006099929202,0.42,0.9652987421383648,0.575,0.5761828752832394,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025790&&companyFlag=0
O9780654712025033,上海市群众文化项目扶持拟扶持项目,文化休闲,上海市文化和旅游局,数据接口,有条件开放,每天,0.1642595606183889,0.3657616102316804,0.2015020496132915,0.2614529824929238,0.0971934218745349,0.4916666666666666,0.6010313531353135,0.4979814342977501,0.42,0.7242610062893081,0.7849999999999999,0.5739774706135342,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O9780654712025033&&companyFlag=0
O2813839692025107,2025年虹口区民办中小学报名调剂志愿及电脑随机录取情况统计,教育科技,上海市虹口区人民政府,数据接口,无条件开放,每年,0.0587876322213181,0.2600901562008596,0.2013025239795415,0.168780794632561,0.1099931624112429,0.6416666666666667,0.7918316831683169,0.4008007004208823,0.42,0.6314937106918239,0.575,0.4856308370178573,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692025107&&companyFlag=0
O1928138392025492,普陀区人社局就业服务培训项目清单,社保就业,上海市普陀区人民政府,数据产品,无条件开放,每年,0.1870402423193422,0.3848411783205787,0.1978009360012364,0.2791697242897578,0.0921294819704156,0.7583333333333334,0.6502887788778878,0.1968494993429361,1.0,0.3821179245283019,0.275,0.5530751181314588,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025492&&companyFlag=0
O1928138422025083,松江区累计批准外商和港澳台投资项目,经济建设,上海市松江区人民政府,数据接口,有条件开放,每天,0.2433889340927583,0.4401928923367229,0.1968039582439646,0.3745675647342488,0.1311786306414905,0.6833333333333335,0.619121287128713,0.4431536498247496,0.42,0.7242610062893081,0.7749999999999999,0.6482446209083267,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025083&&companyFlag=0
O1928138382025825,青浦区医疗服务机构药房信息,卫生健康,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3106183889340927,0.5044553936471329,0.1938370047130401,0.4792955236397945,0.1686771347057018,0.8791666666666665,0.3982466996699669,0.3953621259875102,0.42,0.9652987421383648,0.7749999999999999,0.6647528244061891,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025825&&companyFlag=0
O1928138382025521,宝山区污水处理率信息,资源环境,上海市宝山区人民政府,数据产品,无条件开放,不定期更新,0.3390307226308957,0.5328650801970857,0.1938343575661899,0.4401928923367229,0.1011621697058272,0.6791666666666666,0.5489273927392739,0.1603659448890028,1.0,0.3386635220125786,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025521&&companyFlag=0
O1928138382025596,宝山区幼儿园数信息,教育科技,上海市宝山区人民政府,数据产品,无条件开放,不定期更新,0.3128515794028559,0.5066568822727749,0.193805302869919,0.4202746619142468,0.1074230825113908,0.6416666666666667,0.5385107260726073,0.1503029658330976,1.0,0.3397641509433962,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025596&&companyFlag=0
O5485687432025003,食品安全企业标准备案信息,卫生健康,上海市卫生健康委员会,数据接口,有条件开放,每月,0.4506712774613507,0.6439878393961631,0.1933165619348124,0.5449208512422686,0.0942495737809179,0.7958333333333333,0.6606023102310232,0.5369996550776494,0.42,0.8352987421383649,0.7849999999999999,0.5691226335199949,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5485687432025003&&companyFlag=0
14343,徐汇区爱心妈咪小屋信息表,民生服务,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.3643444396365209,0.5573959534542405,0.1930515138177195,0.4684977460949785,0.1041533064584576,0.7958333333333333,0.2373349834983498,0.1688352340610031,1.0,0.6215880503144655,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14343&&companyFlag=0
O1928138382025306,杨浦区创业服务数字社区文件表,经济建设,上海市杨浦区人民政府,数据接口,有条件开放,每月,0.2433889340927583,0.4364189118356222,0.1930299777428638,0.3797043715274137,0.1363154374346554,0.6416666666666667,0.6113861386138614,0.5595959054251857,0.59,0.5986635220125787,0.575,0.595559712773185,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025306&&companyFlag=0
O1928138382025072,嘉定区投促企业楼宇基本信息表,社会发展,上海市嘉定区人民政府,数据产品,无条件开放,每年,0.3390307226308957,0.5318167522801133,0.1927860296492175,0.4336932592514939,0.0946625366205982,0.6041666666666666,0.2262376237623762,0.3383130349438727,1.0,0.397059748427673,0.975,0.4499999999999999,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025072&&companyFlag=0
