rule_dormant_rank,序号,数据集ID,数据资源名称,数据资源提供部门,数据领域,数据资源类型,开放属性,更新频率,detail_url,view_count_clean,download_count_clean,api_call_count_clean,ActualUse_main_percentile,PotentialUse_main_percentile,DormantScore_rule_v11,DormantScore_rule_rank_v11,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,format_count_clean,field_count_clean,field_description_count_clean,record_count_log_winsor_p99,data_size_log_winsor_p99,has_meaningful_time_scope,has_time_field_strict,has_geo_field_strict
345,2212,O1928138392025536,普陀区薯类和膨化食品监督抽检合格产品信息,上海市普陀区人民政府,公共安全,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025536&&companyFlag=0,15.0,5.0,0.0,0.2459974037213327,0.9561798930705524,0.7101824893492197,345.0,0.8416666666666667,0.8875,0.5688938257706105,1.0,0.4289779874213837,0.675,0.7917607272592408,5.0,13.0,13.0,11.08593534711647,12.889899022043364,0,1,1
346,2219,O1928138392025543,普陀区可可及焙烤咖啡产品监督抽检合格产品信息,上海市普陀区人民政府,公共安全,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025543&&companyFlag=0,13.0,7.0,0.0,0.2516226741670272,0.961631198238809,0.7100085240717818,346.0,0.8416666666666667,0.9083333333333332,0.569066199938513,1.0,0.4289779874213837,0.675,0.7917607272592408,5.0,13.0,13.0,11.085429448791242,12.905283902357484,0,1,1
347,4647,O1928138382025366,嘉定区邻里中心文化休闲活动今日推荐,上海市嘉定区人民政府,民生服务,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025366&&companyFlag=0,23.0,0.0,0.0,0.1078537429684119,0.8175909424467973,0.7097371994783854,347.0,0.7541666666666665,0.78125,0.20356156620811,1.0,0.4113679245283019,0.7749999999999999,0.4717261344435873,5.0,7.0,0.0,2.833213344056216,9.011035410141815,1,1,0
348,5138,13007,闵行区加速器科创园区将奖项信息,上海市闵行区人民政府,教育科技,数据产品,有条件开放,静态数据,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=13007&&companyFlag=0,12.0,0.0,0.0,0.0519255733448723,0.760876402138589,0.7089508287937167,348.0,0.7250000000000001,0.7272483498349834,0.2597252703288686,1.0,0.3363993710691824,0.7749999999999999,0.4717261344435873,5.0,14.0,0.0,2.3978952727983707,8.877521453852872,1,1,0
349,1687,O2813838802025087,嘉定区教育数据中心平台部门信息表,上海市嘉定区人民政府,教育科技,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813838802025087&&companyFlag=0,24.0,0.0,0.0,0.1108827347468628,0.819582765489045,0.7087000307421821,349.0,0.7250000000000001,0.7134075907590758,0.4541904866768922,1.0,0.4465880503144654,0.475,0.6967778658010754,5.0,15.0,15.0,4.343805421853684,11.009025801274973,0,1,0
350,1581,O2813838802025147,嘉定区邻里中心平台活动基本信息表,上海市嘉定区人民政府,文化休闲,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813838802025147&&companyFlag=0,59.0,0.0,0.0,0.1707053223712678,0.8791277911730789,0.7084224688018111,350.0,0.5333333333333333,0.6953382838283828,0.4821011349690388,1.0,0.453191823899371,0.675,0.799055698157356,5.0,16.0,16.0,5.0238805208462765,11.641010804733448,0,1,1
351,1727,O2813838802025055,嘉定区行政执法中队出勤表,上海市嘉定区人民政府,民生服务,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813838802025055&&companyFlag=0,13.0,0.0,0.0,0.0567935958459541,0.765174546598176,0.7083809507522218,351.0,0.8791666666666665,0.6967409240924092,0.336030433097595,1.0,0.3999481132075472,0.475,0.6707344361146202,5.0,7.0,7.0,4.060443010546419,10.22734483993118,0,1,0
352,1708,O2813838802025063,嘉定区城市维护项目的维护状态与地址信息表,上海市嘉定区人民政府,城市建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813838802025063&&companyFlag=0,10.0,0.0,0.0,0.0424058848983124,0.750078624593773,0.7076727396954605,352.0,0.7625,0.7550742574257425,0.2773518987519786,1.0,0.4465880503144654,0.475,0.6186475767417104,5.0,7.0,1.0,4.30406509320417,10.428008959431104,0,0,1
353,3328,O1928138412025022,徐汇区枫林街道社区党建服务中心,上海市徐汇区人民政府,民生服务,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138412025022&&companyFlag=0,16.0,2.0,0.0,0.1870402423193422,0.8939092148023902,0.7068689724830479,353.0,0.8791666666666665,0.7938325082508251,0.2559616422079259,1.0,0.4113679245283019,0.7749999999999999,0.6530751181314588,5.0,4.0,4.0,3.912023005428146,9.639587108749144,1,0,1
354,2181,O1928138392025564,普陀区真如镇街道社会组织年检年报,上海市普陀区人民政府,机构团体,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025564&&companyFlag=0,11.0,2.0,0.0,0.1589138900908697,0.8654995282524374,0.7065856381615676,354.0,0.5791666666666667,0.7488036303630363,0.3705420775009849,1.0,0.4289779874213837,0.675,0.7859688658713646,5.0,11.0,11.0,2.8903717578961645,9.639587108749144,0,1,1
355,7,O2813839472026041,2026年金山区农业农村委员会涉企行政检查年度计划表,上海市金山区人民政府,民生服务,数据产品,无条件开放,不定期更新,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026041&&companyFlag=0,8.0,2.0,0.0,0.1416053656425789,0.848097284830695,0.7064919191881162,355.0,0.7541666666666665,0.7606435643564357,0.2289434166266695,1.0,0.5147971698113207,0.7749999999999999,0.4024999999999999,5.0,8.0,0.0,2.9444389791664403,9.976040745217835,1,1,0
356,4750,O1928138382025295,宝山区未在规定的甚高频通信频道上守听处罚信息,上海市宝山区人民政府,公共安全,数据产品,有条件开放,不定期更新,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025295&&companyFlag=0,18.0,0.0,0.0,0.0817827780181739,0.7882377607715694,0.7064549827533955,356.0,0.7166666666666667,0.7744224422442244,0.2579898894742487,1.0,0.3386635220125786,0.7749999999999999,0.4717261344435873,5.0,11.0,0.0,3.295836866004329,9.416459832284596,1,1,0
357,1434,O2813841502025037,徐汇区龙华街道党群服务信息,上海市徐汇区人民政府,民生服务,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025037&&companyFlag=0,12.0,2.0,0.0,0.1649718736477715,0.8711604990040884,0.706188625356317,357.0,0.8791666666666665,0.738345709570957,0.1658689738009452,1.0,0.4663993710691824,0.7749999999999999,0.6446910064281653,5.0,3.0,3.0,1.9459101490553128,7.6251071482389,1,0,1
