encoded_feature,original_feature,mean_abs_shap,mean_signed_shap,std_shap
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有较完善的数据安全保护体系;仅可用于主管部门授权的场景;注明数据来源，实时日志反馈，定期提交利用报告；,开放条件,0.0012117955,-0.0012117955,1.5185969e-05
cat__数据资源提供部门_上海市民政局,数据资源提供部门,0.0011939636,-0.001149668,0.000808094
cat__数据领域_社会发展,数据领域,0.001135144,0.00080244424,0.0013479774
cat__数据领域_城市建设,数据领域,0.0011048341,0.0010994569,0.00051611866
cat__数据资源提供部门_上海市徐汇区人民政府,数据资源提供部门,0.0010974071,0.0010634924,0.00085728307
cat__数据资源提供部门_上海市人力资源和社会保障局,数据资源提供部门,0.0010418466,-3.487744e-05,0.0012611675
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;,开放条件,0.0010130624,-0.0010130624,0.00012091836
num__suspicious_field_names_flag,suspicious_field_names_flag,0.0010117638,0.0009363531,0.0007790351
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&系统数据可能涉及个人敏感数据,开放条件,0.0010069507,-0.0010069507,0.00028572956
cat__detail_time_scope_2022年-2022年,detail_time_scope,0.0010010522,0.0007521959,0.00091083103
cat__数据领域_民生服务,数据领域,0.00096692005,-0.00096081017,0.0006328844
cat__detail_time_scope_2021年-2021年,detail_time_scope,0.00094495335,-0.00094495335,0.00049978535
cat__detail_spatial_scope_松江区,detail_spatial_scope,0.00092097966,0.0008410091,0.00069487526
cat__detail_time_scope_2021年-2025年,detail_time_scope,0.0009155373,-0.0009155373,0.0004542039
cat__数据领域_经济建设,数据领域,0.0009066556,-0.00044252907,0.0010753592
cat__数据资源提供部门_上海市大数据中心,数据资源提供部门,0.00090342556,-0.00050865737,0.0011092935
cat__detail_time_scope_2009年-2019年,detail_time_scope,0.0008846352,-0.0008846352,0.0011975139
cat__更新频率_不定期更新,更新频率,0.0008746523,0.0007495892,0.000751325
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;&&个人实名制注册后开放,开放条件,0.0008520852,0.0008520852,0.00023500907
cat__detail_time_scope_2019年-2025年,detail_time_scope,0.0008493704,0.00084871775,0.00037506514
num__date_order_anomaly,date_order_anomaly,0.000840036,-0.00020821398,0.001005783
cat__detail_spatial_scope_本市,detail_spatial_scope,0.0008383387,0.0008383387,0.00062366895
cat__开放条件_无条件开放&&,开放条件,0.0007898672,-0.00019914938,0.00089251035
cat__detail_spatial_scope_浦东新区,detail_spatial_scope,0.00077299745,-0.00076337415,0.0005268578
cat__开放条件_有较完善的数据安全保护体系；仅注明数据来源，实时日志反馈，定期提交利用报告；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得对外提供查询服务;有较完善的数据安全保护体系；仅注明数据来源，定期抽查数据使用情况；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景，不得针对具体组织对外发布新闻等信息;有基础的数据安全保护能力；可在自身业务范围内进行科学研究、咨询报告、业务支撑等场景；注明数据来源，定期抽查数据使用情况;&&申请该数据，请提供申请人姓名、工作(学习)单位、联系电话，并且说明数据用途和使用场景。,开放条件,0.00074879854,0.00074879854,0.00018893642
cat__detail_spatial_scope_嘉定区,detail_spatial_scope,0.00072719523,0.00072719523,0.0003299811
cat__detail_time_scope_2019年-2024年,detail_time_scope,0.0006509583,0.0006338464,0.00039056802
cat__detail_time_scope_2019年-2019年,detail_time_scope,0.0006448898,-0.0006448898,9.6816e-05
cat__detail_spatial_scope_徐汇区,detail_spatial_scope,0.0005884229,-0.00029180545,0.0006898091
cat__更新频率_即时,更新频率,0.0005871029,-0.00053615996,0.00047994166
cat__detail_time_scope_2018年-2025年,detail_time_scope,0.00057148887,0.00051500654,0.00035903702
